"type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","fold_strin"
"resistant",0,0,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,0,"37040.9344998172","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",0,1,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,37040.9344998172,"37040.9344998172","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",1,0.00283470170010204,0.00283470170010204,128.112075574751,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,105,"4745496","2.21262434948844e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",1,128.112075574751,0.00283470170010204,128.112075574751,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,4745391,"4745496","0.999977873756505",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",2,0.00812614487362584,0.00812614487362584,203.099789505503,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,301,"7523307","4.00090013607048e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",2,203.099789505503,0.00812614487362584,203.099789505503,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7523006,"7523307","0.999959990998639",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",3,0,0,0.0974327470063643,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,0,"3609","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",3,0.0974327470063643,0,0.0974327470063643,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,3609,"3609","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",4,0,0,0.00877407669079202,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33603,0,"325","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",4,0.00877407669079202,0,0.00877407669079202,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33603,325,"325","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",5,0,0,0.00097189772574927,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36719,0,"36","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",5,0.00097189772574927,0,0.00097189772574927,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36719,36,"36","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",6,0,0,0.0000269971590485908,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37004,0,"1","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",6,0.0000269971590485908,0,0.0000269971590485908,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37004,1,"1","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",7,0,0,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37039,0,"0","NaN",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"susceptible",7,0,0,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37039,0,"0","NaN",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",1
"resistant",0,0,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13633,0,"37040.9344998172","0",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",0,1,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13633,37040.9344998172,"37040.9344998172","1",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",1,0.00259172726866472,0.00259172726866472,128.357209778913,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13633,96,"4754567","2.01911130918967e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",1,128.357209778913,0.00259172726866472,128.357209778913,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13633,4754471,"4754567","0.999979808886908",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",2,0.00728923294311952,0.00728923294311952,203.086047951547,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,2,270,"7522767","3.58910491312572e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",2,203.086047951547,0.00728923294311952,203.086047951547,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,2,7522497,"7522767","0.999964108950869",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",3,0,0,0.0947600282605538,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,3,0,"3510","0",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",3,0.0947600282605538,0,0.0947600282605538,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,3,3510,"3510","1",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",4,0,0,0.00866608805459766,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33702,0,"321","0",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",4,0.00866608805459766,0,0.00866608805459766,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33702,321,"321","1",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",5,0,0,0.00064793181716618,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36722,0,"24","0",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",5,0.00064793181716618,0,0.00064793181716618,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36722,24,"24","1",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",6,0,0,0.0000539943180971817,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37016,0,"2","0",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",6,0.0000539943180971817,0,0.0000539943180971817,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37016,2,"2","1",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",7,0,0,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37038,0,"0","NaN",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"susceptible",7,0,0,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37038,0,"0","NaN",9.3725661950089,-1.42421792769631,0.45971955810273,"2","875773",1
"resistant",0,0,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13547,0,"37040.9344998172","0",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",0,1,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13547,37040.9344998172,"37040.9344998172","1",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",1,0.00280770454105345,0.00280770454105345,128.860301837783,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13547,104,"4773210","2.17882724623471e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",1,128.860301837783,0.00280770454105345,128.860301837783,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13547,4773106,"4773210","0.999978211727538",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",2,0.00815314203267443,0.00815314203267443,203.109103525375,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,302,"7523653","4.01400755723317e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",2,203.109103525375,0.00815314203267443,203.109103525375,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7523351,"7523653","0.999959859924428",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",3,0,0,0.0964338521215664,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,2,0,"3572","0",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",3,0.0964338521215664,0,0.0964338521215664,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,2,3572,"3572","1",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",4,0,0,0.00866608805459766,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33649,0,"321","0",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",4,0.00866608805459766,0,0.00866608805459766,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33649,321,"321","1",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",5,0,0,0.000944900566700679,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36719,0,"35","0",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",5,0.000944900566700679,0,0.000944900566700679,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36719,35,"35","1",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",6,0,0,0.000134985795242954,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37005,0,"5","0",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",6,0.000134985795242954,0,0.000134985795242954,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37005,5,"5","1",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",7,0,0,0.0000269971590485908,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37035,0,"1","0",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",7,0.0000269971590485908,0,0.0000269971590485908,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37035,1,"1","1",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",8,0,0,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37039,0,"0","NaN",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"susceptible",8,0,0,0,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37039,0,"0","NaN",9.3725661950089,-1.42421792769631,0.45971955810273,"3","760983",1
"resistant",0,0,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13584,0,"37040.9344998172","0",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"susceptible",0,1,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13584,37040.9344998172,"37040.9344998172","1",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"resistant",1,0.00253773295056754,0.00253773295056754,128.693486392022,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13584,94,"4767021","1.97188139091479e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"susceptible",1,128.693486392022,0.00253773295056754,128.693486392022,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13584,4766927,"4767021","0.999980281186091",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"resistant",2,0.00774818464694557,0.00774818464694557,203.10016746573,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,287,"7523307","3.8148117576486e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"susceptible",2,203.10016746573,0.00774818464694557,203.10016746573,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7523020,"7523307","0.999961851882423",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"resistant",3,0,0,0.0968118123482467,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,0,"3586","0",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"susceptible",3,0.0968118123482467,0,0.0968118123482467,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,3586,"3586","1",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"resistant",4,0,0,0.00815314203267443,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33629,0,"302","0",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"susceptible",4,0.00815314203267443,0,0.00815314203267443,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,33629,302,"302","1",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"resistant",5,0,0,0.000701926135263361,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36738,0,"26","0",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"susceptible",5,0.000701926135263361,0,0.000701926135263361,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,36738,26,"26","1",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
"resistant",6,0,0,0.0000269971590485908,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,37014,0,"1","0",9.3725661950089,-1.42421792769631,0.45971955810273,"4","886125",1
