"","type","time","moi_res","moi_wt","pop_prop","moi_tot","delta_p","delta_moi","dist_col","moi_color"
"1","resistant",0,0.01,99.99,1e-04,100,0.000419647663482079,-99.9014567993509,0.998594920330026,"100"
"2","resistant",1,5.12077439693752e-05,0.098491992905178,0.000519647663482079,0.0985432006491474,0.514289689463484,-0.0800098010630614,0.513489591452853,"0.09854"
"3","resistant",2,0.00954116715562211,0.00899223243046387,0.514809337126966,0.018533399586086,0.483651517027661,1.89845873938641,0.502636104421525,"0.01853"
"4","resistant",3,1.91404160848618,0.00295053048631215,0.998460854154627,1.91699213897249,0.00113257764624797,170.996066603785,1.7110932436841,"1.91699"
"5","resistant",4,172.842757791859,0.0703009508981976,0.999593431800875,172.913058742757,-1.53900531190132e-05,30.0973670637854,0.300958280584735,"172.91306"
"6","resistant",5,202.924763882082,0.0856619244605503,0.999578041747756,203.010425806543,-1.59256054059753e-05,-0.00608116048525176,7.67372102584929e-05,"203.01043"
"7","resistant",6,202.915452320504,0.0888923255533054,0.99956211614235,203.004344646057,0,0,0,"203.00434"
