"type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","dom_val"
"resistant",0,0,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,0,"37040.9344998172","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",0,1,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,37040.9344998172,"37040.9344998172","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",1,0.00283470170010204,0.00283470170010204,128.112075574751,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,105,"4745496","2.21262434948844e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",1,128.112075574751,0.00283470170010204,128.112075574751,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,13674,4745391,"4745496","0.999977873756505",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",2,0.00812614487362584,0.00812614487362584,203.099789505503,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,301,"7523307","4.00090013607048e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",2,203.099789505503,0.00812614487362584,203.099789505503,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7523006,"7523307","0.999959990998639",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",3,0.00143084942957531,0.00143084942957531,0.333981854590117,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,53,"12424","0.00426593689632968",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",3,0.333981854590117,0.00143084942957531,0.333981854590117,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,12371,"12424","0.99573406310367",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",4,0.237386019514259,0.237386019514259,0.0750521021550825,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,26471,8793,"11573","0.759785708113713",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",4,0.0750521021550825,0.237386019514259,0.0750521021550825,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,26471,2780,"11573","0.240214291886287",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",5,41.4685002077251,41.4685002077251,1.50978912263339,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,27109,1536032,"1591956","0.964870888391388",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",5,1.50978912263339,41.4685002077251,1.50978912263339,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,27109,55924,"1591956","0.0351291116086123",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
