"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"1","resistant",0,0,0,0.01,0.01,0,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,0,"29000","0",1
"2","susceptible",0,0.01,0,0.01,0.01,0,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,29000,"29000","1",1
"3","resistant",1,9.41363682652177e-08,9.41363682652177e-08,0.000941269546283912,0.01,0,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,0.272995467969131,"2729.95467969131","1e-04",1
"4","susceptible",1,0.000941269546283912,9.41363682652177e-08,0.000941269546283912,0.01,0,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,2729.68168422334,"2729.95467969131","0.9999",1
"5","resistant",0,0.001,0.001,0.009,0.009,0.001,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,2900,"29000","0.1",1
"6","susceptible",0,0.009,0.001,0.009,0.009,0.001,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,26100,"29000","0.9",1
"7","resistant",1,0.201367497860957,0.201367497860957,0.00108496633737389,0.009,0.001,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,583965.743796775,"587112.146175159","0.994640883519644",1
"8","susceptible",1,0.00108496633737389,0.201367497860957,0.00108496633737389,0.009,0.001,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,3146.40237838427,"587112.146175159","0.00535911648035565",1
"9","resistant",0,0.002,0.002,0.008,0.008,0.002,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,5800,"29000","0.2",1
"10","susceptible",0,0.008,0.002,0.008,0.008,0.002,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,23200,"29000","0.8",1
"11","resistant",1,0.402888118247453,0.402888118247453,0.00118040863910467,0.008,0.002,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,1168375.54291761,"1171798.72797102","0.997078691953071",1
"12","susceptible",1,0.00118040863910467,0.402888118247453,0.00118040863910467,0.008,0.002,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,3423.18505340354,"1171798.72797102","0.00292130804692954",1
"13","resistant",0,0.003,0.003,0.007,0.007,0.003,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,8700,"29000","0.3",1
"14","susceptible",0,0.007,0.003,0.007,0.007,0.003,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,20300,"29000","0.7",1
"15","resistant",1,0.604562007794146,0.604562007794146,0.001227557239874,0.007,0.003,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,1753229.82260302,"1756789.73859866","0.997973624323151",1
"16","susceptible",1,0.001227557239874,0.604562007794146,0.001227557239874,0.007,0.003,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,3559.91599563459,"1756789.73859866","0.0020263756768492",1
"17","resistant",0,0.004,0.004,0.006,0.006,0.004,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,11600,"29000","0.4",1
"18","susceptible",0,0.006,0.004,0.006,0.006,0.004,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,17400,"29000","0.6",1
"19","resistant",1,0.80638921899839,0.80638921899839,0.00122637291703989,0.006,0.004,2900000,"60",5890.53018340631,29.0045596980904,10000,0.000465842377578656,2871144.51787259,2338528.73509533,"2342085.21655475","0.998481489300954",1
