"","time","nu","id","tot_pfu"
"1",7,0.01592283,55,1
"2",7,0.05722368,66,580605
"3",7,0.08111308,62,824275
"4",7,0.1023531,92,1038984
"5",7,0.1149757,85,1167046
"6",7,0.1149757,88,1167083
"7",7,0.18307383,37,1860208
"8",7,0.18307383,59,1855261
"9",7,0.23101297,62,2344280
"10",7,0.23101297,90,2343000
"11",7,0.25950242,73,2632592
"12",7,0.29150531,12,2959436
"13",7,0.29150531,21,2957449
"14",7,0.36783798,22,3733981
"15",7,0.36783798,67,3736216
"16",7,0.36783798,99,3736314
"17",7,0.41320124,48,4195380
"18",7,0.41320124,72,4195277
"19",7,0.41320124,80,4199839
"20",7,0.41320124,9,4195892
"21",7,0.46415888,41,4710221
"22",7,0.46415888,61,4716591
"23",7,0.58570208,4,5949489
"24",7,0.58570208,56,5943049
"25",7,0.58570208,7,5942965
"26",7,0.58570208,90,5946893
"27",7,0.58570208,92,5945754
"28",7,0.65793322,16,6678315
"29",7,0.65793322,29,6685384
"30",7,0.65793322,54,6676472
"31",7,0.65793322,8,6682176
"32",7,0.7390722,1,7499438
"33",7,0.7390722,13,7505410
"34",7,0.7390722,25,7503770
"35",7,0.7390722,30,7506118
"36",7,0.7390722,57,7511528
"37",7,0.7390722,65,7502372
"38",7,0.7390722,91,7504738
"39",7,0.83021757,13,8429382
"40",7,0.83021757,3,8427078
"41",7,0.83021757,33,8435066
"42",7,0.83021757,84,8428391
"43",7,0.83021757,95,8433594
"44",7,1.04761575,14,10637729
"45",7,1.04761575,35,10636352
"46",7,1.04761575,36,10640899
"47",7,1.04761575,46,10641374
"48",7,1.04761575,73,10639610
"49",7,1.04761575,94,10634156
"50",7,1.32194115,29,13419626
"51",7,1.32194115,31,13424385
"52",7,1.32194115,33,13426135
"53",7,1.32194115,4,13423766
"54",7,1.32194115,42,13426409
"55",7,1.32194115,46,13417612
"56",7,1.32194115,86,13427273
"57",7,1.48496826,19,15094694
"58",7,1.48496826,26,15078967
"59",7,1.48496826,38,15080887
"60",7,1.48496826,42,15082809
"61",7,1.48496826,64,15081196
"62",7,1.48496826,65,15086148
"63",7,1.48496826,68,15084509
"64",7,1.48496826,69,15086558
"65",7,1.48496826,86,15075598
"66",7,1.48496826,96,15077354
"67",7,1.87381742,28,19028899
"68",7,1.87381742,5,19030172
"69",7,1.87381742,52,19027190
"70",7,1.87381742,62,19038197
"71",7,1.87381742,64,19024342
"72",7,1.87381742,95,19032463
"73",7,1.87381742,97,19024840
"74",7,10.72267222,1,108906359
"75",7,10.72267222,12,108891301
"76",7,10.72267222,14,108901630
"77",7,10.72267222,15,108925390
"78",7,10.72267222,16,108911992
"79",7,10.72267222,18,108908619
"80",7,10.72267222,2,108924668
"81",7,10.72267222,21,108891928
"82",7,10.72267222,22,108895027
"83",7,10.72267222,23,108927606
"84",7,10.72267222,24,108897279
"85",7,10.72267222,25,108905478
"86",7,10.72267222,26,108908000
"87",7,10.72267222,28,108904507
"88",7,10.72267222,3,108907714
"89",7,10.72267222,30,108906176
"90",7,10.72267222,31,108913547
"91",7,10.72267222,35,108906399
"92",7,10.72267222,36,108901772
"93",7,10.72267222,37,108891118
"94",7,10.72267222,38,108898128
"95",7,10.72267222,39,108909262
"96",7,10.72267222,40,108883407
"97",7,10.72267222,41,8814794
"98",7,10.72267222,43,108872702
"99",7,10.72267222,44,108905490
"100",7,10.72267222,45,108896731
"101",7,10.72267222,46,108910673
"102",7,10.72267222,47,108920304
"103",7,10.72267222,48,108893511
"104",7,10.72267222,49,108919890
"105",7,10.72267222,5,108894142
"106",7,10.72267222,51,108885345
"107",7,10.72267222,52,108886833
"108",7,10.72267222,55,108901487
"109",7,10.72267222,57,108904982
"110",7,10.72267222,59,108895946
"111",7,10.72267222,62,108909871
"112",7,10.72267222,68,108887160
"113",7,10.72267222,69,108905517
"114",7,10.72267222,7,1
"115",7,10.72267222,72,108905418
"116",7,10.72267222,74,108899827
"117",7,10.72267222,75,108888058
"118",7,10.72267222,77,108905120
"119",7,10.72267222,78,108904976
"120",7,10.72267222,79,108924183
"121",7,10.72267222,80,108900360
"122",7,10.72267222,86,108892184
"123",7,10.72267222,87,108907474
"124",7,10.72267222,91,108885464
"125",7,10.72267222,95,108912582
"126",7,10.72267222,96,108917181
"127",7,10.72267222,97,108894048
"128",7,10.72267222,99,108914608
"129",7,1000,1,10156508061
"130",7,1000,10,10156562039
"131",7,1000,100,10156390107
"132",7,1000,11,10156646737
"133",7,1000,12,10156474657
"134",7,1000,13,10156497265
"135",7,1000,14,10156258511
"136",7,1000,15,10156236641
"137",7,1000,16,10156513317
"138",7,1000,17,10156492645
"139",7,1000,18,10156347410
"140",7,1000,19,10156221484
"141",7,1000,2,10156301150
"142",7,1000,20,10156465172
"143",7,1000,21,10156245574
"144",7,1000,22,10156637345
"145",7,1000,23,10156189341
"146",7,1000,24,10156458571
"147",7,1000,25,10156430995
"148",7,1000,26,10156618834
"149",7,1000,27,10156505155
"150",7,1000,28,10156621095
"151",7,1000,29,10156465267
"152",7,1000,3,10156359671
"153",7,1000,30,10156299759
"154",7,1000,31,10156527864
"155",7,1000,32,10156394603
"156",7,1000,33,10156568315
"157",7,1000,34,10156422053
"158",7,1000,35,10156364520
"159",7,1000,36,10156164903
"160",7,1000,37,10156380089
"161",7,1000,38,10156308100
"162",7,1000,39,10156580421
"163",7,1000,4,10156313073
"164",7,1000,40,10156221946
"165",7,1000,41,10156294010
"166",7,1000,42,10156329694
"167",7,1000,43,10156186187
"168",7,1000,44,10156688555
"169",7,1000,45,10156234159
"170",7,1000,46,10156480133
"171",7,1000,47,10156229100
"172",7,1000,48,10156263168
"173",7,1000,49,10156049429
"174",7,1000,5,10156505270
"175",7,1000,50,10156320574
