"","time","nu","id","tot_pfu"
"1",5,0.01592283,55,1
"2",5,0.02009233,10,1
"3",5,0.02009233,25,1
"4",5,0.0225702,18,1
"5",5,0.03593814,67,1
"6",5,0.05722368,66,579139
"7",5,0.08111308,62,822893
"8",5,0.08111308,67,1
"9",5,0.09111628,2,1
"10",5,0.09111628,99,1
"11",5,0.1023531,22,1
"12",5,0.1023531,50,1
"13",5,0.1023531,92,1039670
"14",5,0.1149757,29,1
"15",5,0.1149757,7,1
"16",5,0.1149757,80,1
"17",5,0.1149757,85,1166521
"18",5,0.1149757,88,1165827
"19",5,0.12915497,13,1
"20",5,0.12915497,39,2
"21",5,0.12915497,96,1
"22",5,0.18307383,27,2
"23",5,0.18307383,37,1859978
"24",5,0.18307383,53,2
"25",5,0.18307383,59,1854704
"26",5,0.18307383,6,1
"27",5,0.18307383,66,1
"28",5,0.18307383,77,1
"29",5,0.18307383,83,2
"30",5,0.20565123,2,1
"31",5,0.20565123,20,1
"32",5,0.20565123,83,1
"33",5,0.23101297,2,1
"34",5,0.23101297,23,1
"35",5,0.23101297,35,2
"36",5,0.23101297,6,1
"37",5,0.23101297,62,2347209
"38",5,0.23101297,90,2344258
"39",5,0.23101297,97,1
"40",5,0.25950242,24,1
"41",5,0.25950242,29,1
"42",5,0.25950242,47,1
"43",5,0.25950242,69,1
"44",5,0.25950242,73,2635480
"45",5,0.29150531,12,2836603
"46",5,0.29150531,15,1
"47",5,0.29150531,21,2955123
"48",5,0.29150531,37,1
"49",5,0.29150531,4,1
"50",5,0.29150531,60,1
"51",5,0.29150531,78,1
"52",5,0.32745492,11,1
"53",5,0.32745492,88,2
"54",5,0.36783798,100,1
"55",5,0.36783798,22,3735505
"56",5,0.36783798,24,1
"57",5,0.36783798,29,1
"58",5,0.36783798,3,2
"59",5,0.36783798,57,1
"60",5,0.36783798,67,3734796
"61",5,0.36783798,75,1
"62",5,0.36783798,78,1
"63",5,0.36783798,79,1
"64",5,0.36783798,9,1
"65",5,0.36783798,95,1
"66",5,0.36783798,99,3735871
"67",5,0.41320124,11,1
"68",5,0.41320124,34,1
"69",5,0.41320124,46,1
"70",5,0.41320124,48,4197306
"71",5,0.41320124,72,4196664
"72",5,0.41320124,80,4197961
"73",5,0.41320124,9,4196244
"74",5,0.41320124,90,1
"75",5,0.41320124,91,1
"76",5,0.41320124,99,1
"77",5,0.46415888,24,1
"78",5,0.46415888,41,4710972
"79",5,0.46415888,48,1
"80",5,0.46415888,52,1
"81",5,0.46415888,6,2
"82",5,0.46415888,61,4709338
"83",5,0.46415888,76,1
"84",5,0.46415888,79,1
"85",5,0.46415888,8,1
"86",5,0.46415888,80,1
"87",5,0.46415888,87,1
"88",5,0.46415888,90,1
"89",5,0.52140083,3,1
"90",5,0.52140083,38,2
"91",5,0.52140083,47,1
"92",5,0.52140083,52,1
"93",5,0.52140083,83,1
"94",5,0.52140083,84,1
"95",5,0.58570208,13,1
"96",5,0.58570208,14,1
"97",5,0.58570208,18,1
"98",5,0.58570208,4,4600362
"99",5,0.58570208,52,1
"100",5,0.58570208,55,1
"101",5,0.58570208,56,5946595
"102",5,0.58570208,67,1
"103",5,0.58570208,7,5945796
"104",5,0.58570208,70,1
"105",5,0.58570208,77,1
"106",5,0.58570208,79,1
"107",5,0.58570208,80,1
"108",5,0.58570208,89,1
"109",5,0.58570208,90,5949163
"110",5,0.58570208,92,5946765
"111",5,0.58570208,96,1
"112",5,0.65793322,13,1
"113",5,0.65793322,16,6679487
"114",5,0.65793322,17,1
"115",5,0.65793322,24,1
"116",5,0.65793322,27,2
"117",5,0.65793322,29,6683881
"118",5,0.65793322,33,1
"119",5,0.65793322,34,1
"120",5,0.65793322,50,1
"121",5,0.65793322,54,6676752
"122",5,0.65793322,55,2
"123",5,0.65793322,72,1
"124",5,0.65793322,77,1
"125",5,0.65793322,78,1
"126",5,0.65793322,79,1
"127",5,0.65793322,8,6678433
"128",5,0.65793322,82,1
"129",5,0.65793322,98,1
"130",5,0.7390722,1,7498524
"131",5,0.7390722,10,2
"132",5,0.7390722,12,1
"133",5,0.7390722,13,7503923
"134",5,0.7390722,18,1
"135",5,0.7390722,2,1
"136",5,0.7390722,25,7503987
"137",5,0.7390722,30,7503919
"138",5,0.7390722,34,1
"139",5,0.7390722,36,1
"140",5,0.7390722,37,1
"141",5,0.7390722,44,2
"142",5,0.7390722,45,2
"143",5,0.7390722,48,1
"144",5,0.7390722,51,2
"145",5,0.7390722,56,1
"146",5,0.7390722,57,7503883
"147",5,0.7390722,60,1
"148",5,0.7390722,62,1
"149",5,0.7390722,63,2
"150",5,0.7390722,65,7511866
"151",5,0.7390722,80,1
"152",5,0.7390722,90,1
"153",5,0.7390722,91,7506448
"154",5,0.7390722,92,1
"155",5,0.83021757,13,8433251
"156",5,0.83021757,17,1
"157",5,0.83021757,2,1
"158",5,0.83021757,20,1
"159",5,0.83021757,28,1
"160",5,0.83021757,3,5375718
"161",5,0.83021757,33,8432038
"162",5,0.83021757,39,1
"163",5,0.83021757,43,2
"164",5,0.83021757,50,1
"165",5,0.83021757,64,1
"166",5,0.83021757,66,1
"167",5,0.83021757,80,2
"168",5,0.83021757,81,1
"169",5,0.83021757,84,8428622
"170",5,0.83021757,92,1
"171",5,0.83021757,94,1
"172",5,0.83021757,95,8427695
"173",5,0.83021757,96,1
"174",5,0.93260335,13,1
"175",5,0.93260335,14,1
"176",5,0.93260335,17,1
"177",5,0.93260335,32,1
"178",5,0.93260335,40,2
"179",5,0.93260335,41,1
"180",5,0.93260335,45,2
"181",5,0.93260335,53,1
"182",5,0.93260335,76,1
"183",5,0.93260335,84,1
"184",5,0.93260335,88,1
"185",5,0.93260335,92,1
"186",5,0.93260335,93,1
"187",5,0.93260335,97,1
"188",5,1.04761575,100,1
"189",5,1.04761575,14,10641548
"190",5,1.04761575,2,2
"191",5,1.04761575,20,1
"192",5,1.04761575,31,1
"193",5,1.04761575,33,1
"194",5,1.04761575,35,10638563
"195",5,1.04761575,36,10640034
"196",5,1.04761575,37,1
"197",5,1.04761575,38,2
"198",5,1.04761575,40,1
"199",5,1.04761575,45,1
"200",5,1.04761575,46,10642657
"201",5,1.04761575,57,1
"202",5,1.04761575,67,1
"203",5,1.04761575,68,1
"204",5,1.04761575,73,10640633
"205",5,1.04761575,79,1
"206",5,1.04761575,8,1
"207",5,1.04761575,80,1
"208",5,1.04761575,82,1
"209",5,1.04761575,89,1
"210",5,1.04761575,9,2
"211",5,1.04761575,91,1
"212",5,1.04761575,92,1
"213",5,1.04761575,93,1
"214",5,1.04761575,94,10643490
"215",5,1.17681195,13,1
"216",5,1.17681195,14,1
"217",5,1.17681195,3,1
"218",5,1.17681195,33,1
"219",5,1.17681195,39,1
"220",5,1.17681195,47,1
"221",5,1.17681195,48,1
"222",5,1.17681195,49,2
"223",5,1.17681195,53,1
"224",5,1.17681195,56,1
"225",5,1.17681195,64,1
"226",5,1.17681195,65,1
"227",5,1.17681195,71,2
"228",5,1.17681195,72,1
"229",5,1.17681195,8,1
"230",5,1.17681195,86,2
"231",5,1.17681195,87,2
"232",5,1.17681195,92,1
"233",5,1.17681195,95,1
"234",5,1.17681195,99,1
"235",5,1.32194115,100,2
"236",5,1.32194115,11,1
"237",5,1.32194115,16,1
"238",5,1.32194115,17,1
