"","nu","n_u","total_rows","zero_count","proportion_zero"
"1",0.01,0.01,154,41,0.266233766233766
"2",0.01,0.01,154,41,0.266233766233766
"3",0.01,0.01,154,41,0.266233766233766
"4",0.01,0.01,154,41,0.266233766233766
"5",0.01,0.01,154,41,0.266233766233766
"6",0.01,0.01,154,41,0.266233766233766
"7",0.01,0.01,154,41,0.266233766233766
"8",0.01,0.01,154,41,0.266233766233766
"9",0.01,0.01,154,41,0.266233766233766
"10",0.01,0.01,154,41,0.266233766233766
"11",0.01,0.01,154,41,0.266233766233766
"12",0.01,0.01,154,41,0.266233766233766
"13",0.01,0.01,154,41,0.266233766233766
"14",0.01,0.01,154,41,0.266233766233766
"15",0.01,0.01,154,41,0.266233766233766
"16",0.01,0.01,154,41,0.266233766233766
"17",0.01,0.01,154,41,0.266233766233766
"18",0.01,0.01,154,41,0.266233766233766
"19",0.01,0.01,154,41,0.266233766233766
"20",0.01,0.01,154,41,0.266233766233766
"21",0.01,0.01,154,41,0.266233766233766
"22",0.01,0.01,154,41,0.266233766233766
"23",0.01,0.01,154,41,0.266233766233766
"24",0.01,0.01,154,41,0.266233766233766
"25",0.01,0.01,154,41,0.266233766233766
"26",0.01,0.01,154,41,0.266233766233766
"27",0.01,0.01,154,41,0.266233766233766
"28",0.01,0.01,154,41,0.266233766233766
"29",0.01,0.01,154,41,0.266233766233766
"30",0.01,0.01,154,41,0.266233766233766
"31",0.01,0.01,154,41,0.266233766233766
"32",0.01,0.01,154,41,0.266233766233766
"33",0.01,0.01,154,41,0.266233766233766
"34",0.01,0.01,154,41,0.266233766233766
"35",0.01,0.01,154,41,0.266233766233766
"36",0.01,0.01,154,41,0.266233766233766
"37",0.01,0.01,154,41,0.266233766233766
"38",0.01,0.01,154,41,0.266233766233766
"39",0.01,0.01,154,41,0.266233766233766
"40",0.01,0.01,154,41,0.266233766233766
"41",0.01,0.01,154,41,0.266233766233766
"42",0.01,0.01,154,41,0.266233766233766
"43",0.01,0.01,154,41,0.266233766233766
"44",0.01,0.01,154,41,0.266233766233766
"45",0.01,0.01,154,41,0.266233766233766
"46",0.01,0.01,154,41,0.266233766233766
"47",0.01,0.01,154,41,0.266233766233766
"48",0.01,0.01,154,41,0.266233766233766
"49",0.01,0.01,154,41,0.266233766233766
"50",0.01,0.01,154,41,0.266233766233766
"51",0.01,0.01,154,41,0.266233766233766
"52",0.01,0.01,154,41,0.266233766233766
"53",0.01,0.01,154,41,0.266233766233766
"54",0.01,0.01,154,41,0.266233766233766
"55",0.01,0.01,154,41,0.266233766233766
"56",0.01,0.01,154,41,0.266233766233766
"57",0.01,0.01,154,41,0.266233766233766
"58",0.01,0.01,154,41,0.266233766233766
"59",0.01,0.01,154,41,0.266233766233766
"60",0.01,0.01,154,41,0.266233766233766
"61",0.01,0.01,154,41,0.266233766233766
"62",0.01,0.01,154,41,0.266233766233766
"63",0.01,0.01,154,41,0.266233766233766
"64",0.01,0.01,154,41,0.266233766233766
"65",0.01,0.01,154,41,0.266233766233766
"66",0.01,0.01,154,41,0.266233766233766
"67",0.01,0.01,154,41,0.266233766233766
"68",0.01,0.01,154,41,0.266233766233766
"69",0.01,0.01,154,41,0.266233766233766
"70",0.01,0.01,154,41,0.266233766233766
"71",0.01,0.01,154,41,0.266233766233766
"72",0.01,0.01,154,41,0.266233766233766
"73",0.01,0.01,154,41,0.266233766233766
"74",0.01,0.01,154,41,0.266233766233766
"75",0.01,0.01,154,41,0.266233766233766
"76",0.01,0.01,154,41,0.266233766233766
"77",0.01,0.01,154,41,0.266233766233766
"78",0.01,0.01,154,41,0.266233766233766
"79",0.01,0.01,154,41,0.266233766233766
"80",0.01,0.01,154,41,0.266233766233766
"81",0.01,0.01,154,41,0.266233766233766
"82",0.01,0.01,154,41,0.266233766233766
"83",0.01,0.01,154,41,0.266233766233766
"84",0.01,0.01,154,41,0.266233766233766
"85",0.01,0.01,154,41,0.266233766233766
"86",0.01,0.01,154,41,0.266233766233766
"87",0.01,0.01,154,41,0.266233766233766
"88",0.01,0.01,154,41,0.266233766233766
"89",0.01,0.01,154,41,0.266233766233766
"90",0.01,0.01,154,41,0.266233766233766
"91",0.01,0.01,154,41,0.266233766233766
"92",0.01,0.01,154,41,0.266233766233766
"93",0.01,0.01,154,41,0.266233766233766
"94",0.01,0.01,154,41,0.266233766233766
"95",0.01,0.01,154,41,0.266233766233766
"96",0.01,0.01,154,41,0.266233766233766
"97",0.01,0.01,154,41,0.266233766233766
"98",0.01,0.01,154,41,0.266233766233766
"99",0.01,0.01,154,41,0.266233766233766
"100",0.01,0.01,154,41,0.266233766233766
"101",0.01,0.01,154,41,0.266233766233766
"102",0.01,0.01,154,41,0.266233766233766
"103",0.01,0.01,154,41,0.266233766233766
"104",0.01,0.01,154,41,0.266233766233766
"105",0.01,0.01,154,41,0.266233766233766
"106",0.01,0.01,154,41,0.266233766233766
"107",0.01,0.01,154,41,0.266233766233766
"108",0.01,0.01,154,41,0.266233766233766
"109",0.01,0.01,154,41,0.266233766233766
"110",0.01,0.01,154,41,0.266233766233766
"111",0.01,0.01,154,41,0.266233766233766
"112",0.01,0.01,154,41,0.266233766233766
"113",0.01,0.01,154,41,0.266233766233766
"114",0.01,0.01,154,41,0.266233766233766
"115",0.01,0.01,154,41,0.266233766233766
"116",0.01,0.01,154,41,0.266233766233766
"117",0.01,0.01,154,41,0.266233766233766
"118",0.01,0.01,154,41,0.266233766233766
"119",0.01,0.01,154,41,0.266233766233766
"120",0.01,0.01,154,41,0.266233766233766
"121",0.01,0.01,154,41,0.266233766233766
"122",0.01,0.01,154,41,0.266233766233766
"123",0.01,0.01,154,41,0.266233766233766
"124",0.01,0.01,154,41,0.266233766233766
"125",0.01,0.01,154,41,0.266233766233766
"126",0.01,0.01,154,41,0.266233766233766
"127",0.01,0.01,154,41,0.266233766233766
"128",0.01,0.01,154,41,0.266233766233766
"129",0.01,0.01,154,41,0.266233766233766
"130",0.01,0.01,154,41,0.266233766233766
"131",0.01,0.01,154,41,0.266233766233766
"132",0.01,0.01,154,41,0.266233766233766
"133",0.01,0.01,154,41,0.266233766233766
"134",0.01,0.01,154,41,0.266233766233766
"135",0.01,0.01,154,41,0.266233766233766
"136",0.01,0.01,154,41,0.266233766233766
"137",0.01,0.01,154,41,0.266233766233766
"138",0.01,0.01,154,41,0.266233766233766
"139",0.01,0.01,154,41,0.266233766233766
"140",0.01,0.01,154,41,0.266233766233766
"141",0.01,0.01,154,41,0.266233766233766
"142",0.01,0.01,154,41,0.266233766233766
"143",0.01,0.01,154,41,0.266233766233766
"144",0.01,0.01,154,41,0.266233766233766
"145",0.01,0.01,154,41,0.266233766233766
"146",0.01,0.01,154,41,0.266233766233766
"147",0.01,0.01,154,41,0.266233766233766
"148",0.01,0.01,154,41,0.266233766233766
"149",0.01,0.01,154,41,0.266233766233766
"150",0.01,0.01,154,41,0.266233766233766
"151",0.01,0.01,154,41,0.266233766233766
"152",0.01,0.01,154,41,0.266233766233766
"153",0.01,0.01,154,41,0.266233766233766
"154",0.01,0.01,154,41,0.266233766233766
"155",0.01264855,0.01264855,160,45,0.28125
"156",0.01264855,0.01264855,160,45,0.28125
"157",0.01264855,0.01264855,160,45,0.28125
"158",0.01264855,0.01264855,160,45,0.28125
"159",0.01264855,0.01264855,160,45,0.28125
"160",0.01264855,0.01264855,160,45,0.28125
"161",0.01264855,0.01264855,160,45,0.28125
"162",0.01264855,0.01264855,160,45,0.28125
"163",0.01264855,0.01264855,160,45,0.28125
"164",0.01264855,0.01264855,160,45,0.28125
"165",0.01264855,0.01264855,160,45,0.28125
"166",0.01264855,0.01264855,160,45,0.28125
"167",0.01264855,0.01264855,160,45,0.28125
"168",0.01264855,0.01264855,160,45,0.28125
"169",0.01264855,0.01264855,160,45,0.28125
"170",0.01264855,0.01264855,160,45,0.28125
"171",0.01264855,0.01264855,160,45,0.28125
"172",0.01264855,0.01264855,160,45,0.28125
"173",0.01264855,0.01264855,160,45,0.28125
"174",0.01264855,0.01264855,160,45,0.28125
"175",0.01264855,0.01264855,160,45,0.28125
"176",0.01264855,0.01264855,160,45,0.28125
"177",0.01264855,0.01264855,160,45,0.28125
"178",0.01264855,0.01264855,160,45,0.28125
"179",0.01264855,0.01264855,160,45,0.28125
"180",0.01264855,0.01264855,160,45,0.28125
"181",0.01264855,0.01264855,160,45,0.28125
