"","time","nu","id","tot_pfu"
"1",8,0.05179475,34,525675
"2",8,0.10481131,23,1062923
"3",8,0.33932218,19,3439471
"4",8,0.33932218,7,3444641
"5",8,0.42919343,31,4357551
"6",8,0.42919343,33,4350441
"7",8,0.68664885,25,6973054
"8",8,0.68664885,39,6967602
"9",8,0.68664885,8,6967622
"10",8,0.86851137,24,8814716
"11",8,0.86851137,29,8816072
"12",8,0.86851137,38,8815409
"13",8,1.09854114,17,11157219
"14",8,1.09854114,30,11147721
"15",8,1.09854114,44,11146639
"16",8,1.09854114,50,11149837
"17",8,1.38949549,12,14092052
"18",8,1.38949549,14,14088174
"19",8,1.38949549,18,14106777
"20",8,1.38949549,21,14100211
"21",8,1.38949549,27,14102550
"22",8,1.38949549,3,14102676
"23",8,1.38949549,7,14102262
"24",8,1.75751062,10,17838127
"25",8,1.75751062,13,17835107
"26",8,1.75751062,3,17841897
"27",8,1.75751062,30,17820312
"28",8,1.75751062,35,17841317
"29",8,1000,1,10151068417
"30",8,1000,10,10151340566
"31",8,1000,11,10150869545
"32",8,1000,12,10151401572
"33",8,1000,13,10151283839
"34",8,1000,14,10151158770
"35",8,1000,15,10151002972
"36",8,1000,16,10151277264
"37",8,1000,17,10151129011
"38",8,1000,18,10151175458
"39",8,1000,19,10150911546
"40",8,1000,2,10151280712
"41",8,1000,20,10151043345
"42",8,1000,21,10151212814
"43",8,1000,22,10151060594
"44",8,1000,23,10151143892
"45",8,1000,24,10151100778
"46",8,1000,25,10151304042
"47",8,1000,26,10151101633
"48",8,1000,27,10151197444
"49",8,1000,28,10151313261
"50",8,1000,29,10151016812
"51",8,1000,3,10151210398
"52",8,1000,30,10151273053
"53",8,1000,31,10151052968
"54",8,1000,32,10151058269
"55",8,1000,33,10151145235
"56",8,1000,34,10150857399
"57",8,1000,35,10151041003
"58",8,1000,36,10151072302
"59",8,1000,37,10151341144
"60",8,1000,38,10151325493
"61",8,1000,39,10151082094
"62",8,1000,4,10151118254
"63",8,1000,40,10150952715
"64",8,1000,41,10151139799
"65",8,1000,42,10151064696
"66",8,1000,43,10150993094
"67",8,1000,44,10151257981
"68",8,1000,45,10151167755
"69",8,1000,46,10151051904
"70",8,1000,47,10151105985
"71",8,1000,48,10151203935
"72",8,1000,49,10151253311
"73",8,1000,5,10151239479
"74",8,1000,50,10151248635
"75",8,1000,6,10150988001
"76",8,1000,7,10151150079
