"","time","nu","id","tot_pfu"
"1",1,0.01,1,26
"2",1,0.01,10,28
"3",1,0.01,100,32
"4",1,0.01,11,36
"5",1,0.01,12,30
"6",1,0.01,13,28
"7",1,0.01,14,30
"8",1,0.01,15,25
"9",1,0.01,16,23
"10",1,0.01,17,29
"11",1,0.01,18,26
"12",1,0.01,19,31
"13",1,0.01,2,26
"14",1,0.01,20,27
"15",1,0.01,21,31
"16",1,0.01,22,40
"17",1,0.01,23,29
"18",1,0.01,24,40
"19",1,0.01,25,30
"20",1,0.01,26,37
"21",1,0.01,27,26
"22",1,0.01,28,30
"23",1,0.01,29,21
"24",1,0.01,3,33
"25",1,0.01,30,34
"26",1,0.01,31,34
"27",1,0.01,32,31
"28",1,0.01,33,34
"29",1,0.01,34,33
"30",1,0.01,35,38
"31",1,0.01,36,22
"32",1,0.01,37,23
"33",1,0.01,38,20
"34",1,0.01,39,31
"35",1,0.01,4,33
"36",1,0.01,40,38
"37",1,0.01,41,29
"38",1,0.01,42,33
"39",1,0.01,43,31
"40",1,0.01,44,21
"41",1,0.01,45,25
"42",1,0.01,46,40
"43",1,0.01,47,24
"44",1,0.01,48,24
"45",1,0.01,49,22
"46",1,0.01,5,32
"47",1,0.01,50,37
"48",1,0.01,51,35
"49",1,0.01,52,33
"50",1,0.01,53,36
"51",1,0.01,54,28
"52",1,0.01,55,33
"53",1,0.01,56,25
"54",1,0.01,57,33
"55",1,0.01,58,36
"56",1,0.01,59,28
"57",1,0.01,6,27
"58",1,0.01,60,32
"59",1,0.01,61,36
"60",1,0.01,62,29
"61",1,0.01,63,38
"62",1,0.01,64,33
"63",1,0.01,65,30
"64",1,0.01,66,25
"65",1,0.01,67,25
"66",1,0.01,68,28
"67",1,0.01,69,28
"68",1,0.01,7,24
"69",1,0.01,70,29
"70",1,0.01,71,30
"71",1,0.01,72,36
"72",1,0.01,73,25
"73",1,0.01,74,35
"74",1,0.01,75,23
"75",1,0.01,76,31
"76",1,0.01,77,35
"77",1,0.01,78,32
"78",1,0.01,79,33
"79",1,0.01,8,31
"80",1,0.01,80,29
"81",1,0.01,81,29
"82",1,0.01,82,31
