"","time","nu","id","tot_pfu"
"1",6,0.01592283,55,1
"2",6,0.03593814,67,1
"3",6,0.05722368,66,579721
"4",6,0.08111308,62,822746
"5",6,0.1023531,92,1038834
"6",6,0.1149757,85,1163818
"7",6,0.1149757,88,1165438
"8",6,0.12915497,39,1
"9",6,0.18307383,37,1859236
"10",6,0.18307383,59,1855253
"11",6,0.23101297,35,1
"12",6,0.23101297,62,2345060
"13",6,0.23101297,90,2344278
"14",6,0.25950242,73,2634067
"15",6,0.29150531,12,2961350
"16",6,0.29150531,21,2959886
"17",6,0.36783798,22,3734442
"18",6,0.36783798,57,1
"19",6,0.36783798,67,3735487
"20",6,0.36783798,79,1
"21",6,0.36783798,99,3732671
"22",6,0.41320124,11,1
"23",6,0.41320124,46,1
"24",6,0.41320124,48,4197493
"25",6,0.41320124,72,4198797
"26",6,0.41320124,80,4194766
"27",6,0.41320124,9,4198714
"28",6,0.46415888,41,4713504
"29",6,0.46415888,52,1
"30",6,0.46415888,61,4712930
"31",6,0.46415888,80,1
"32",6,0.58570208,4,5945376
"33",6,0.58570208,56,5949367
"34",6,0.58570208,7,5946253
"35",6,0.58570208,90,5950624
"36",6,0.58570208,92,5945995
"37",6,0.65793322,16,6688278
"38",6,0.65793322,29,6681144
"39",6,0.65793322,34,1
"40",6,0.65793322,54,6684550
"41",6,0.65793322,8,6685905
"42",6,0.7390722,1,7501592
"43",6,0.7390722,13,7506496
"44",6,0.7390722,18,1
"45",6,0.7390722,25,7502779
"46",6,0.7390722,30,7507288
"47",6,0.7390722,57,7500894
"48",6,0.7390722,62,1
"49",6,0.7390722,63,2
"50",6,0.7390722,65,7505698
"51",6,0.7390722,91,7501297
"52",6,0.83021757,13,8430102
"53",6,0.83021757,2,1
"54",6,0.83021757,3,8436743
"55",6,0.83021757,33,8432450
"56",6,0.83021757,84,8420346
"57",6,0.83021757,92,1
"58",6,0.83021757,95,8433511
"59",6,0.93260335,40,2
"60",6,1.04761575,14,10642561
"61",6,1.04761575,35,10641095
"62",6,1.04761575,36,10637970
"63",6,1.04761575,46,10634492
"64",6,1.04761575,57,1
"65",6,1.04761575,73,10640599
"66",6,1.04761575,94,10636520
"67",6,1.32194115,16,1
"68",6,1.32194115,29,13422355
"69",6,1.32194115,31,13422737
"70",6,1.32194115,33,13419218
"71",6,1.32194115,4,13421626
"72",6,1.32194115,42,13424653
"73",6,1.32194115,43,1
"74",6,1.32194115,46,13428454
"75",6,1.32194115,86,13427417
"76",6,1.48496826,19,15076682
"77",6,1.48496826,26,15085622
"78",6,1.48496826,38,15080643
"79",6,1.48496826,42,15076188
"80",6,1.48496826,63,1
"81",6,1.48496826,64,15083653
"82",6,1.48496826,65,15077446
"83",6,1.48496826,68,15084167
"84",6,1.48496826,69,15081336
"85",6,1.48496826,86,15079456
"86",6,1.48496826,96,15072036
"87",6,1.87381742,16,1
"88",6,1.87381742,28,19032116
"89",6,1.87381742,5,19033530
"90",6,1.87381742,52,19034554
"91",6,1.87381742,62,19031590
"92",6,1.87381742,64,19026403
"93",6,1.87381742,86,1
"94",6,1.87381742,90,1
"95",6,1.87381742,95,19031193
"96",6,1.87381742,97,19027887
"97",6,10.72267222,1,108912250
"98",6,10.72267222,12,108903150
"99",6,10.72267222,14,108893022
"100",6,10.72267222,15,108903594
"101",6,10.72267222,16,108918734
"102",6,10.72267222,18,108903321
"103",6,10.72267222,19,1
"104",6,10.72267222,2,108904688
"105",6,10.72267222,21,108893525
"106",6,10.72267222,22,108909395
"107",6,10.72267222,23,108904112
"108",6,10.72267222,24,108891388
"109",6,10.72267222,25,108906491
"110",6,10.72267222,26,108896995
"111",6,10.72267222,28,108894478
"112",6,10.72267222,29,1
"113",6,10.72267222,3,108906232
"114",6,10.72267222,30,108895384
"115",6,10.72267222,31,108924378
"116",6,10.72267222,34,1
"117",6,10.72267222,35,108887437
"118",6,10.72267222,36,108905254
"119",6,10.72267222,37,108896197
"120",6,10.72267222,38,108911097
"121",6,10.72267222,39,108906345
"122",6,10.72267222,40,108894906
"123",6,10.72267222,41,45307
"124",6,10.72267222,43,108897496
"125",6,10.72267222,44,108923975
"126",6,10.72267222,45,108900790
"127",6,10.72267222,46,108924079
"128",6,10.72267222,47,108936170
"129",6,10.72267222,48,108902662
"130",6,10.72267222,49,108940010
"131",6,10.72267222,5,108922430
"132",6,10.72267222,51,108901675
"133",6,10.72267222,52,108910449
"134",6,10.72267222,55,108888308
"135",6,10.72267222,57,108909617
"136",6,10.72267222,59,108904303
"137",6,10.72267222,62,108884218
"138",6,10.72267222,67,1
"139",6,10.72267222,68,108897280
"140",6,10.72267222,69,108921409
"141",6,10.72267222,7,1
"142",6,10.72267222,70,1
"143",6,10.72267222,72,108907755
"144",6,10.72267222,74,108914047
"145",6,10.72267222,75,108928426
"146",6,10.72267222,77,108897634
"147",6,10.72267222,78,108907562
"148",6,10.72267222,79,108918093
"149",6,10.72267222,80,108902402
"150",6,10.72267222,83,1
"151",6,10.72267222,86,108887271
"152",6,10.72267222,87,108908868
"153",6,10.72267222,88,1
"154",6,10.72267222,90,1
"155",6,10.72267222,91,108909911
"156",6,10.72267222,95,108915551
"157",6,10.72267222,96,108900505
"158",6,10.72267222,97,108884499
"159",6,10.72267222,99,108907186
"160",6,1000,1,10156618601
"161",6,1000,10,10156843608
"162",6,1000,100,10156612633
"163",6,1000,11,10156751411
"164",6,1000,12,10156957727
"165",6,1000,13,10156656423
"166",6,1000,14,10156792489
"167",6,1000,15,10156788930
"168",6,1000,16,10156875563
"169",6,1000,17,10156930451
"170",6,1000,18,10156806757
"171",6,1000,19,10156715255
"172",6,1000,2,10156878345
"173",6,1000,20,10156813699
"174",6,1000,21,10156608814
"175",6,1000,22,10156838384
"176",6,1000,23,10156876582
"177",6,1000,24,10156744330
"178",6,1000,25,10156814821
"179",6,1000,26,10157029680
"180",6,1000,27,10156730314
"181",6,1000,28,10156596944
"182",6,1000,29,10156699835
"183",6,1000,3,10156747057
"184",6,1000,30,10156801267
"185",6,1000,31,10156867757
"186",6,1000,32,10156628543
"187",6,1000,33,10156762631
"188",6,1000,34,10156856291
"189",6,1000,35,10156693671
"190",6,1000,36,10156622616
"191",6,1000,37,10156983628
"192",6,1000,38,10156848984
"193",6,1000,39,10156566731
"194",6,1000,4,10156725774
"195",6,1000,40,10156646253
"196",6,1000,41,10156716976
"197",6,1000,42,10156976197
"198",6,1000,43,10156673703
"199",6,1000,44,10156830390
"200",6,1000,45,10156634928
"201",6,1000,46,10156894997
"202",6,1000,47,10156499713
"203",6,1000,48,10156773898
"204",6,1000,49,10156625835
"205",6,1000,5,10156756504
"206",6,1000,50,10156700177
"207",6,1000,51,10156646158
"208",6,1000,52,10156811460
"209",6,1000,53,10156574359
"210",6,1000,54,10156583407
"211",6,1000,55,10156777176
"212",6,1000,56,10156658839
"213",6,1000,57,10156714148
"214",6,1000,58,10156612725
"215",6,1000,59,10156863231
"216",6,1000,6,10156969644
"217",6,1000,60,10156727845
"218",6,1000,61,10156545804
"219",6,1000,62,10156710142
"220",6,1000,63,10156634196
"221",6,1000,64,10156928655
"222",6,1000,65,10156753704
"223",6,1000,66,10156758504
"224",6,1000,67,10156796197
"225",6,1000,68,10156957763
"226",6,1000,69,10156691595
"227",6,1000,7,10157022697
"228",6,1000,70,10156730034
"229",6,1000,71,10156693244
"230",6,1000,72,10156776318
"231",6,1000,73,10156706033
"232",6,1000,74,10156605568
"233",6,1000,75,10156828822
"234",6,1000,76,10156911817
"235",6,1000,77,10156519775
"236",6,1000,78,10156786297
"237",6,1000,79,10156607403
"238",6,1000,8,10156791924
"239",6,1000,80,10156905925
"240",6,1000,81,10156707944
"241",6,1000,82,10156681424
"242",6,1000,83,10156763049
"243",6,1000,84,10156893578
"244",6,1000,85,10156790855
"245",6,1000,86,10156543292
"246",6,1000,87,10156671820
"247",6,1000,88,10156705221
"248",6,1000,89,10156969263
"249",6,1000,9,10156841173
"250",6,1000,90,10156863231
"251",6,1000,91,10156725261
"252",6,1000,92,10156754542
"253",6,1000,93,10156742383
"254",6,1000,94,10156814821
"255",6,1000,95,10156730714
"256",6,1000,96,10156811381
"257",6,1000,97,10156652596
"258",6,1000,98,10156614211
"259",6,1000,99,10156943710
"260",6,109.74987655,1,1114719736
"261",6,109.74987655,10,1114744777
"262",6,109.74987655,100,1114793351
"263",6,109.74987655,11,1114710471
"264",6,109.74987655,12,1114730508
"265",6,109.74987655,13,1114736679
"266",6,109.74987655,14,1114738960
"267",6,109.74987655,15,1114754972
"268",6,109.74987655,16,1114773116
"269",6,109.74987655,17,1114729300
"270",6,109.74987655,18,1114674992
"271",6,109.74987655,19,1114700094
"272",6,109.74987655,2,1114673396
"273",6,109.74987655,20,1114715514
"274",6,109.74987655,21,1114679810
"275",6,109.74987655,22,1114736633
"276",6,109.74987655,23,1114675629
"277",6,109.74987655,24,1114695198
"278",6,109.74987655,25,1114696753
"279",6,109.74987655,26,1114747559
"280",6,109.74987655,27,1114679458
"281",6,109.74987655,28,1114602116
"282",6,109.74987655,29,1114758387
"283",6,109.74987655,3,1114677901
"284",6,109.74987655,30,1114704292
"285",6,109.74987655,31,1114715793
"286",6,109.74987655,32,1114681670
"287",6,109.74987655,33,1114721452
"288",6,109.74987655,34,1114702049
"289",6,109.74987655,35,1114636213
"290",6,109.74987655,36,1114779470
"291",6,109.74987655,37,1114826062
"292",6,109.74987655,38,1114603756
"293",6,109.74987655,39,1114692065
"294",6,109.74987655,4,1114732475
"295",6,109.74987655,40,1114696974
"296",6,109.74987655,41,1114741920
"297",6,109.74987655,42,1114718728
"298",6,109.74987655,43,1114677488
"299",6,109.74987655,44,1114731477
"300",6,109.74987655,45,1114701653
"301",6,109.74987655,46,1114673740
"302",6,109.74987655,47,1114690189
"303",6,109.74987655,48,1114716292
"304",6,109.74987655,49,1114664452
"305",6,109.74987655,5,1114748677
"306",6,109.74987655,50,1114738045
"307",6,109.74987655,51,1114726206
"308",6,109.74987655,52,1114682715
"309",6,109.74987655,53,1114759175
"310",6,109.74987655,54,1114672099
"311",6,109.74987655,55,1114732899
"312",6,109.74987655,56,1114722627
"313",6,109.74987655,57,1114672408
"314",6,109.74987655,58,1114722118
"315",6,109.74987655,59,1114702572
"316",6,109.74987655,6,1114702865
"317",6,109.74987655,60,1114728113
"318",6,109.74987655,61,1114721329
"319",6,109.74987655,62,1114696403
"320",6,109.74987655,63,1114731881
"321",6,109.74987655,64,1114757696
"322",6,109.74987655,65,1114685255
"323",6,109.74987655,66,1114724438
"324",6,109.74987655,67,1114752810
"325",6,109.74987655,68,1114704008
"326",6,109.74987655,69,1114632909
