"","time","nu","id","tot_pfu"
"1",4,0.01,51,1
"2",4,0.01123324,27,1
"3",4,0.01261857,1,1
"4",4,0.01261857,19,1
"5",4,0.01261857,22,1
"6",4,0.01261857,25,1
"7",4,0.01261857,33,1
"8",4,0.01261857,43,2
"9",4,0.01261857,74,1
"10",4,0.01417474,47,1
"11",4,0.01417474,60,1
"12",4,0.01592283,45,1
"13",4,0.01592283,55,1
"14",4,0.01592283,80,1
"15",4,0.01592283,9,1
"16",4,0.0178865,47,1
"17",4,0.02009233,10,2
"18",4,0.02009233,100,1
"19",4,0.02009233,25,1
"20",4,0.0225702,14,1
"21",4,0.0225702,15,1
"22",4,0.0225702,18,1
"23",4,0.0225702,31,2
"24",4,0.0225702,57,1
"25",4,0.0225702,9,1
"26",4,0.02535364,68,2
"27",4,0.02848036,25,2
"28",4,0.02848036,3,1
"29",4,0.02848036,42,1
"30",4,0.02848036,43,1
"31",4,0.02848036,53,2
"32",4,0.02848036,95,1
"33",4,0.03199267,77,1
"34",4,0.03593814,13,1
"35",4,0.03593814,19,1
"36",4,0.03593814,30,1
"37",4,0.03593814,39,1
"38",4,0.03593814,51,1
"39",4,0.03593814,55,1
"40",4,0.03593814,67,1
"41",4,0.03593814,70,1
"42",4,0.03593814,88,1
"43",4,0.04037017,1,1
"44",4,0.04037017,27,1
"45",4,0.04037017,46,1
"46",4,0.04037017,49,1
"47",4,0.04037017,70,1
"48",4,0.04037017,78,1
"49",4,0.04037017,9,2
"50",4,0.04037017,95,1
"51",4,0.04534879,4,1
"52",4,0.04534879,41,1
"53",4,0.04534879,44,1
"54",4,0.04534879,66,1
"55",4,0.04534879,83,1
"56",4,0.04534879,85,1
"57",4,0.04534879,92,1
"58",4,0.05094138,14,1
"59",4,0.05094138,15,1
"60",4,0.05094138,41,1
"61",4,0.05094138,43,1
"62",4,0.05094138,44,1
"63",4,0.05094138,47,1
"64",4,0.05094138,8,2
"65",4,0.05094138,85,1
"66",4,0.05094138,9,1
"67",4,0.05722368,19,1
"68",4,0.05722368,20,2
"69",4,0.05722368,25,2
"70",4,0.05722368,35,1
