"","time","nu","id","tot_pfu"
"1",2,0.01,1,3
"2",2,0.01,10,4
"3",2,0.01,11,3
"4",2,0.01,12,4
"5",2,0.01,13,2
"6",2,0.01,14,4
"7",2,0.01,15,1
"8",2,0.01,16,2
"9",2,0.01,17,2
"10",2,0.01,18,3
"11",2,0.01,2,2
"12",2,0.01,20,2
"13",2,0.01,21,1
"14",2,0.01,22,2
"15",2,0.01,23,3
"16",2,0.01,24,2
"17",2,0.01,25,5
"18",2,0.01,26,5
"19",2,0.01,27,3
"20",2,0.01,28,5
"21",2,0.01,29,2
"22",2,0.01,3,2
"23",2,0.01,30,3
"24",2,0.01,31,5
"25",2,0.01,32,2
"26",2,0.01,33,3
"27",2,0.01,34,1
"28",2,0.01,35,2
"29",2,0.01,36,2
"30",2,0.01,38,1
"31",2,0.01,39,3
"32",2,0.01,4,4
"33",2,0.01,40,3
"34",2,0.01,41,1
"35",2,0.01,42,1
"36",2,0.01,43,3
"37",2,0.01,44,2
"38",2,0.01,45,2
"39",2,0.01,46,3
"40",2,0.01,47,2
"41",2,0.01,48,3
"42",2,0.01,49,3
"43",2,0.01,50,7
"44",2,0.01,51,3
"45",2,0.01,52,3
"46",2,0.01,53,1
"47",2,0.01,55,1
"48",2,0.01,57,3
"49",2,0.01,58,1
"50",2,0.01,6,2
"51",2,0.01,60,3
"52",2,0.01,61,1
"53",2,0.01,63,3
"54",2,0.01,64,8
"55",2,0.01,65,1
"56",2,0.01,66,1
"57",2,0.01,67,1
"58",2,0.01,68,2
"59",2,0.01,69,1
"60",2,0.01,7,2
"61",2,0.01,70,4
"62",2,0.01,71,1
"63",2,0.01,72,1
"64",2,0.01,73,3
"65",2,0.01,74,2
"66",2,0.01,75,2
"67",2,0.01,76,1
"68",2,0.01,77,2
"69",2,0.01,79,4
"70",2,0.01,8,2
"71",2,0.01,80,2
"72",2,0.01,81,1
"73",2,0.01,82,4
"74",2,0.01,83,3
"75",2,0.01,84,1
"76",2,0.01,85,4
"77",2,0.01,86,3
"78",2,0.01,87,1
"79",2,0.01,88,6
"80",2,0.01,89,6
"81",2,0.01,9,2
"82",2,0.01,90,3
"83",2,0.01,91,1
"84",2,0.01,92,4
"85",2,0.01,94,1
"86",2,0.01,95,3
"87",2,0.01,96,3
"88",2,0.01,97,2
"89",2,0.01,98,5
"90",2,0.01,99,2
"91",2,0.01123324,1,3
"92",2,0.01123324,10,3
"93",2,0.01123324,11,6
"94",2,0.01123324,12,4
"95",2,0.01123324,13,2
"96",2,0.01123324,14,3
"97",2,0.01123324,15,2
"98",2,0.01123324,16,8
"99",2,0.01123324,17,4
"100",2,0.01123324,18,4
"101",2,0.01123324,19,2
"102",2,0.01123324,2,3
"103",2,0.01123324,20,3
"104",2,0.01123324,21,4
"105",2,0.01123324,22,2
"106",2,0.01123324,23,2
"107",2,0.01123324,24,7
"108",2,0.01123324,25,4
"109",2,0.01123324,26,2
"110",2,0.01123324,27,4
"111",2,0.01123324,28,2
"112",2,0.01123324,29,4
"113",2,0.01123324,3,3
"114",2,0.01123324,31,2
"115",2,0.01123324,32,4
"116",2,0.01123324,33,3
"117",2,0.01123324,34,1
"118",2,0.01123324,35,5
"119",2,0.01123324,36,4
"120",2,0.01123324,37,5
"121",2,0.01123324,38,5
"122",2,0.01123324,39,1
"123",2,0.01123324,4,5
"124",2,0.01123324,40,2
"125",2,0.01123324,41,6
"126",2,0.01123324,42,2
"127",2,0.01123324,43,1
"128",2,0.01123324,44,2
"129",2,0.01123324,45,4
"130",2,0.01123324,46,5
"131",2,0.01123324,47,2
"132",2,0.01123324,48,2
"133",2,0.01123324,49,1
"134",2,0.01123324,5,8
"135",2,0.01123324,50,4
"136",2,0.01123324,52,1
"137",2,0.01123324,54,4
"138",2,0.01123324,55,2
"139",2,0.01123324,56,5
"140",2,0.01123324,57,4
"141",2,0.01123324,58,3
"142",2,0.01123324,59,3
"143",2,0.01123324,6,3
"144",2,0.01123324,60,1
"145",2,0.01123324,62,6
"146",2,0.01123324,63,4
"147",2,0.01123324,64,6
"148",2,0.01123324,65,5
"149",2,0.01123324,66,6
"150",2,0.01123324,67,2
"151",2,0.01123324,68,3
"152",2,0.01123324,69,6
"153",2,0.01123324,7,1
"154",2,0.01123324,71,2
"155",2,0.01123324,72,3
"156",2,0.01123324,73,5
"157",2,0.01123324,74,5
"158",2,0.01123324,75,2
"159",2,0.01123324,76,3
"160",2,0.01123324,77,3
"161",2,0.01123324,78,3
"162",2,0.01123324,79,3
"163",2,0.01123324,8,2
"164",2,0.01123324,80,1
"165",2,0.01123324,81,3
"166",2,0.01123324,82,7
"167",2,0.01123324,83,6
"168",2,0.01123324,84,4
"169",2,0.01123324,85,4
"170",2,0.01123324,86,3
"171",2,0.01123324,87,2
"172",2,0.01123324,88,1
"173",2,0.01123324,89,1
"174",2,0.01123324,9,6
"175",2,0.01123324,90,4
"176",2,0.01123324,91,3
"177",2,0.01123324,92,2
"178",2,0.01123324,93,6
"179",2,0.01123324,94,7
"180",2,0.01123324,95,5
"181",2,0.01123324,96,1
"182",2,0.01123324,98,4
"183",2,0.01123324,99,2
"184",2,0.01261857,1,4
"185",2,0.01261857,10,2
"186",2,0.01261857,100,5
"187",2,0.01261857,11,3
"188",2,0.01261857,12,4
"189",2,0.01261857,13,4
"190",2,0.01261857,14,3
"191",2,0.01261857,15,1
"192",2,0.01261857,16,6
"193",2,0.01261857,17,4
"194",2,0.01261857,18,4
"195",2,0.01261857,19,5
"196",2,0.01261857,2,4
"197",2,0.01261857,20,2
"198",2,0.01261857,21,9
"199",2,0.01261857,22,3
"200",2,0.01261857,23,2
"201",2,0.01261857,24,2
"202",2,0.01261857,25,4
"203",2,0.01261857,26,3
"204",2,0.01261857,27,4
"205",2,0.01261857,28,2
"206",2,0.01261857,3,2
"207",2,0.01261857,30,3
"208",2,0.01261857,31,1
"209",2,0.01261857,32,1
"210",2,0.01261857,33,8
"211",2,0.01261857,35,4
"212",2,0.01261857,36,8
"213",2,0.01261857,38,6
"214",2,0.01261857,39,2
"215",2,0.01261857,4,5
"216",2,0.01261857,40,6
"217",2,0.01261857,41,8
"218",2,0.01261857,42,3
"219",2,0.01261857,43,3
"220",2,0.01261857,44,1
"221",2,0.01261857,45,8
"222",2,0.01261857,46,9
"223",2,0.01261857,47,4
"224",2,0.01261857,48,3
"225",2,0.01261857,49,1
"226",2,0.01261857,5,3
"227",2,0.01261857,50,4
"228",2,0.01261857,51,3
"229",2,0.01261857,52,3
"230",2,0.01261857,53,4
"231",2,0.01261857,54,5
"232",2,0.01261857,55,6
"233",2,0.01261857,57,4
"234",2,0.01261857,6,3
"235",2,0.01261857,60,3
"236",2,0.01261857,61,5
"237",2,0.01261857,62,4
"238",2,0.01261857,63,3
"239",2,0.01261857,64,6
"240",2,0.01261857,65,2
"241",2,0.01261857,66,4
"242",2,0.01261857,67,3
"243",2,0.01261857,68,4
"244",2,0.01261857,69,3
"245",2,0.01261857,7,1
"246",2,0.01261857,70,2
"247",2,0.01261857,71,7
"248",2,0.01261857,72,3
"249",2,0.01261857,73,2
"250",2,0.01261857,74,5
"251",2,0.01261857,75,5
"252",2,0.01261857,76,5
"253",2,0.01261857,77,6
"254",2,0.01261857,78,9
"255",2,0.01261857,79,2
"256",2,0.01261857,8,4
"257",2,0.01261857,80,7
"258",2,0.01261857,81,6
"259",2,0.01261857,82,4
"260",2,0.01261857,83,3
"261",2,0.01261857,84,2
"262",2,0.01261857,85,4
"263",2,0.01261857,86,3
"264",2,0.01261857,87,3
"265",2,0.01261857,88,6
"266",2,0.01261857,89,5
"267",2,0.01261857,9,5
"268",2,0.01261857,90,3
"269",2,0.01261857,91,2
"270",2,0.01261857,92,2
"271",2,0.01261857,93,1
"272",2,0.01261857,94,5
"273",2,0.01261857,95,4
"274",2,0.01261857,96,8
"275",2,0.01261857,97,4
"276",2,0.01261857,98,3
"277",2,0.01261857,99,4
"278",2,0.01417474,1,5
"279",2,0.01417474,10,5
"280",2,0.01417474,100,8
"281",2,0.01417474,11,7
"282",2,0.01417474,12,4
"283",2,0.01417474,13,3
"284",2,0.01417474,14,3
"285",2,0.01417474,15,5
"286",2,0.01417474,16,3
"287",2,0.01417474,17,3
"288",2,0.01417474,18,9
