"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"1","resistant",0,0,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"2","susceptible",0,0.01,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"3","resistant",1,1.88347876904852e-08,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0.0546208843024072,"2731.04421512036","2e-05",0.999999999999999
"4","susceptible",1,0.000941720549736572,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2730.98959423606,"2731.04421512036","0.99998",0.999999999999999
"5","resistant",0,0.001,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"6","susceptible",0,0.009,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"7","resistant",1,0.181328063162507,0.181328063162507,0.00105771410896078,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,525851.383171271,"528918.754087257","0.994200676583534",0.999999999999999
"8","susceptible",1,0.00105771410896078,0.181328063162507,0.00105771410896078,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3067.37091598627,"528918.754087257","0.00579932341646605",0.999999999999999
"9","resistant",0,0.002,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"10","susceptible",0,0.008,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"11","resistant",1,0.36279173733243,0.36279173733243,0.00112790629935955,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1052096.03826405,"1055366.96653219","0.996900672115131",0.999999999999999
"12","susceptible",1,0.00112790629935955,0.36279173733243,0.00112790629935955,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3270.92826814271,"1055366.96653219","0.00309932788486889",0.999999999999999
"13","resistant",0,0.003,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"14","susceptible",0,0.007,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"15","resistant",1,0.54439108459232,0.54439108459232,0.00115226208619694,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1578734.14531773,"1582075.7053677","0.997887863369222",0.999999999999999
"16","susceptible",1,0.00115226208619694,0.54439108459232,0.00115226208619694,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3341.56004997114,"1582075.7053677","0.00211213663077805",0.999999999999999
"17","resistant",0,0.004,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"18","susceptible",0,0.006,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"19","resistant",1,0.726126148187005,0.726126148187005,0.00113074642583517,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2105765.82974231,"2109044.99437724","0.998445189816403",0.999999999999999
"20","susceptible",1,0.00113074642583517,0.726126148187005,0.00113074642583517,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3279.16463492198,"2109044.99437724","0.00155481018359699",0.999999999999999
"21","resistant",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"22","susceptible",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"23","resistant",1,0.907996971358355,0.907996971358355,0.00106332426573664,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2633191.21693923,"2636274.85730987","0.998830303918392",0.999999999999999
"24","susceptible",1,0.00106332426573664,0.907996971358355,0.00106332426573664,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3083.64037063626,"2636274.85730987","0.0011696960816077",0.999999999999999
"25","resistant",0,0.006,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"26","susceptible",0,0.004,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"27","resistant",1,1.0900035973453,1.0900035973453,0.000949960544466076,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3161010.43230136,"3163765.31788031","0.999129238327703",0.999999999999999
"28","susceptible",1,0.000949960544466076,1.0900035973453,0.000949960544466076,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2754.88557895162,"3163765.31788031","0.000870761672296656",0.999999999999999
"29","resistant",0,0.007,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"30","susceptible",0,0.003,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"31","resistant",1,1.27214606938378,1.27214606938378,0.000790620191692506,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3689223.60121297,"3691516.39976888","0.999378900617629",0.999999999999999
"32","susceptible",1,0.000790620191692506,1.27214606938378,0.000790620191692506,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2292.79855590827,"3691516.39976888","0.000621099382370838",0.999999999999999
"33","resistant",0,0.008,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"34","susceptible",0,0.002,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"35","resistant",1,1.4544244307068,1.4544244307068,0.000585268128191382,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,4217830.84904971,"4219528.12662147","0.999597756545087",0.999999999999999
"36","susceptible",1,0.000585268128191382,1.4544244307068,0.000585268128191382,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1697.27757175501,"4219528.12662147","0.00040224345491305",0.999999999999999
"37","resistant",0,0.009,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"38","susceptible",0,0.001,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"39","resistant",1,1.63683872454435,1.63683872454435,0.000333869265846608,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,4746832.30117862,"4747800.52204958","0.999796069597605",0.999999999999999
"40","susceptible",1,0.000333869265846608,1.63683872454435,0.000333869265846608,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,968.220870955163,"4747800.52204958","0.000203930402395506",0.999999999999999
"41","resistant",0,0.01,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"42","susceptible",0,0,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"43","resistant",1,1.81938899412346,1.81938899412346,3.63885076526224e-05,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5276228.08295805,"5276333.60963024","0.99998",0.999999999999999
"44","susceptible",1,3.63885076526224e-05,1.81938899412346,3.63885076526224e-05,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,105.526672192605,"5276333.60963024","2e-05",0.999999999999999
"45","resistant",0,0,0,0.0272270130807791,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,0,"78958.3379342595","0",0.999999999999998
