"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"1","resistant",0,0,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"2","susceptible",0,0.01,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"3","resistant",1,1.88347876904852e-08,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0.0546208843024072,"2731.04421512036","2e-05",0.999999999999999
"4","susceptible",1,0.000941720549736572,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2730.98959423606,"2731.04421512036","0.99998",0.999999999999999
"5","resistant",0,0.001,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"6","susceptible",0,0.009,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"7","resistant",1,0.020241396755965,0.020241396755965,0.000964489449148802,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,58700.0505922986,"61497.0699948301","0.954517842837607",0.999999999999999
"8","susceptible",1,0.000964489449148802,0.020241396755965,0.000964489449148802,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2797.01940253153,"61497.0699948301","0.0454821571623927",0.999999999999999
"9","resistant",0,0.002,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"10","susceptible",0,0.008,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"11","resistant",1,0.040477091490039,0.040477091490039,0.000961365108150351,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,117383.565321113,"120171.524134749","0.976800170974699",0.999999999999999
"12","susceptible",1,0.000961365108150351,0.040477091490039,0.000961365108150351,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2787.95881363602,"120171.524134749","0.0231998290253011",0.999999999999999
"13","resistant",0,0.003,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"14","susceptible",0,0.007,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"15","resistant",1,0.0607070720540564,0.0607070720540564,0.000932346090992679,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,176050.508956764,"178754.312620642","0.984874190590205",0.999999999999999
"16","susceptible",1,0.000932346090992679,0.0607070720540564,0.000932346090992679,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2703.80366387877,"178754.312620642","0.0151258094097951",0.999999999999999
"17","resistant",0,0.004,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"18","susceptible",0,0.006,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"19","resistant",1,0.0809313074460593,0.0809313074460593,0.000877430970169223,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,234700.791593572,"237245.341407063","0.989274605779825",0.999999999999999
"20","susceptible",1,0.000877430970169223,0.0809313074460593,0.000877430970169223,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2544.54981349075,"237245.341407063","0.010725394220175",0.999999999999999
"21","resistant",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"22","susceptible",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"23","resistant",1,0.101149766645079,0.101149766645079,0.000796618326419951,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,293334.323270729,"295644.516417347","0.992185909028136",0.999999999999999
"24","susceptible",1,0.000796618326419951,0.101149766645079,0.000796618326419951,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2310.19314661786,"295644.516417347","0.0078140909718639",0.999999999999999
"25","resistant",0,0.006,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"26","susceptible",0,0.004,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"27","resistant",1,0.121362418611134,0.121362418611134,0.000689906748735926,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,351951.013972288,"353951.743543622","0.994347451007576",0.999999999999999
"28","susceptible",1,0.000689906748735926,0.121362418611134,0.000689906748735926,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2000.72957133419,"353951.743543622","0.0056525489924239",0.999999999999999
"29","resistant",0,0.007,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"30","susceptible",0,0.003,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"31","resistant",1,0.141569232285225,0.141569232285225,0.000557294834363856,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,410550.773627154,"412166.928646809","0.996078882347593",0.999999999999999
"32","susceptible",1,0.000557294834363856,0.141569232285225,0.000557294834363856,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1616.15501965518,"412166.928646809","0.00392111765240653",0.999999999999999
"33","resistant",0,0.008,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"34","susceptible",0,0.002,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"35","resistant",1,0.161770176589333,0.161770176589333,0.000398781188810663,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,469133.512109065,"470289.977556615","0.997540952385251",0.999999999999999
"36","susceptible",1,0.000398781188810663,0.161770176589333,0.000398781188810663,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1156.46544755092,"470289.977556615","0.00245904761474893",0.999999999999999
"37","resistant",0,0.009,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"38","susceptible",0,0.001,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"39","resistant",1,0.181965220426411,0.181965220426411,0.000214364425848028,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,527699.139236591,"528320.796071551","0.998823334535415",0.999999999999999
"40","susceptible",1,0.000214364425848028,0.181965220426411,0.000214364425848028,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,621.656834959281,"528320.796071551","0.00117666546458468",0.999999999999999
"41","resistant",0,0.01,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"42","susceptible",0,0,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"43","resistant",1,0.202154332680385,0.202154332680385,4.04316751695804e-06,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,586247.564773116,"586259.289958916","0.99998",0.999999999999999
"44","susceptible",1,4.04316751695804e-06,0.202154332680385,4.04316751695804e-06,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11.7251857991783,"586259.289958916","2e-05",0.999999999999999
"45","resistant",0,0,0,0.0272270130807791,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,0,"78958.3379342595","0",0.999999999999998
"46","susceptible",0,0.0272270130807791,0,0.0272270130807791,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,78958.3379342595,"78958.3379342595","1",0.999999999999998
