"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"1","resistant",0,0,0,1,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,3777,0,"10098.2346083922","0",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"2","susceptible",0,1,0,1,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,3777,10098.2346083922,"10098.2346083922","1",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"3","resistant",0.333333333333333,0.0120813196297312,0.0120813196297312,127.038541858977,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,3777,122,"1282987","9.50905971767446e-05",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"4","susceptible",0.333333333333333,127.038541858977,0.0120813196297312,127.038541858977,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,3777,1282865,"1282987","0.999904909402823",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"5","resistant",0.666666666666667,0.0389176935613473,0.0389176935613473,202.825650168382,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,393,"2048574","0.000191840763379795",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"6","susceptible",0.666666666666667,202.825650168382,0.0389176935613473,202.825650168382,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2048181,"2048574","0.99980815923662",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"7","resistant",1,0.0597134076780978,0.0597134076780978,202.981518997047,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,603,"2050358","0.000294094982437213",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"8","susceptible",1,202.981518997047,0.0597134076780978,202.981518997047,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2049755,"2050358","0.999705905017563",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"9","resistant",1.33333333333333,0.0821925843662043,0.0821925843662043,203.088270329513,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,830,"2051663","0.000404549870032262",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"10","susceptible",1.33333333333333,203.088270329513,0.0821925843662043,203.088270329513,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2050833,"2051663","0.999595450129968",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"11","resistant",1.66666666666667,0.0999184549704821,0.0999184549704821,202.890116882144,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,1009,"2049841","0.000492233300046199",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"12","susceptible",1.66666666666667,202.890116882144,0.0999184549704821,202.890116882144,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2048832,"2049841","0.999507766699954",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"13","resistant",2,0.119624869776355,0.119624869776355,203.02291237086,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,1208,"2051381","0.00058887159430647",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"14","susceptible",2,203.02291237086,0.119624869776355,203.02291237086,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2050173,"2051381","0.999411128405694",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"15","resistant",2.33333333333333,0.142500155304781,0.142500155304781,202.720186189647,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,1439,"2048555","0.000702446358530769",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"16","susceptible",2.33333333333333,202.720186189647,0.142500155304781,202.720186189647,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2047116,"2048555","0.999297553641469",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"17","resistant",2.66666666666667,0.170524855757354,0.170524855757354,202.738407196301,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,1722,"2049022","0.000840400932737667",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"18","susceptible",2.66666666666667,202.738407196301,0.170524855757354,202.738407196301,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,2047300,"2049022","0.999159599067262",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"19","resistant",3,0.000297081630239293,0.000297081630239293,0.128339264263374,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,3,"1299","0.0023094688221709",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"20","susceptible",3,0.128339264263374,0.000297081630239293,0.128339264263374,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,1296,"1299","0.997690531177829",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"21","resistant",3.33333333333333,0.0204986324865112,0.0204986324865112,0.0123784012599705,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,8955,207,"332","0.623493975903614",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"22","susceptible",3.33333333333333,0.0123784012599705,0.0204986324865112,0.0123784012599705,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,8955,125,"332","0.376506024096386",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"23","resistant",3.66666666666667,3.48942180158065,3.48942180158065,0.00455525166366915,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,9762,35237,"35283","0.998696255987303",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"24","susceptible",3.66666666666667,0.00455525166366915,3.48942180158065,0.00455525166366915,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,9762,46,"35283","0.00130374401269733",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"25","resistant",4,126.513103482294,126.513103482294,0.0782314959630137,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,284,1277559,"1278349","0.999382015396421",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"26","susceptible",4,0.0782314959630137,126.513103482294,0.0782314959630137,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,284,790,"1278349","0.000617984603578522",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"27","resistant",4.33333333333333,110.643497930961,110.643497930961,0.0838760469375603,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,1117304,"1118151","0.999242499447749",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"28","susceptible",4.33333333333333,0.0838760469375603,110.643497930961,0.0838760469375603,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,847,"1118151","0.000757500552250993",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"29","resistant",4.66666666666667,93.9197826926903,93.9197826926903,0.0797169041142102,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,948424,"949229","0.999151943313995",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
"30","susceptible",4.66666666666667,0.0797169041142102,93.9197826926903,0.0797169041142102,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.000465842377578656,"9",10000,0,805,"949229","0.000848056686005168",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated Pocapavir"
